"","summary_glm","summary_gee","summary_re_nosig","summary_re","summary_cop","summary_cop_n","actuals","","","",""
"",-0.383682536592854,-0.383682538015769,-1.16821105099966,-1.98289087671696,-0.375369497427381,-0.33875919025509,-0.356674943938732,0.7,0.51825025025025,4.08163265306122,0.510204081632653
"",-0.341372607651324,-0.34137261244321,-1.16273102281748,-1.97705944387276,-0.333387741943427,-0.295067371918955,-0.356674943938732,0.7,0.528268268268268,4.08163265306122,0.510204081632653
"",-0.393156678102699,-0.393156679422818,-1.19245151758999,-1.99082006077018,-0.400768187158516,-0.35195296831874,-0.356674943938732,0.7,0.538314314314314,4.08163265306122,0.510204081632653
"",-0.393337176842458,-0.393337177743902,-1.17657200609401,-1.99631248668879,-0.394062644389776,-0.347562585722071,-0.356674943938732,0.7,0.526590590590591,4.08163265306122,0.510204081632653
"",-0.419263302401054,-0.419263302969383,-1.20608008309457,-0.813057659687461,-0.421657147344927,-0.372376712986326,-0.356674943938732,0.7,0.561913913913914,4.08163265306122,0.510204081632653
"",-0.385048163303549,-0.385048165910073,-1.21300113978494,-2.0235506135799,-0.373150830061645,-0.332871716209185,-0.356674943938732,0.7,0.578622622622623,4.08163265306122,0.510204081632653
"",-0.434122212757402,-0.434122213480621,-1.23005014088067,-2.02128438335548,-0.427064895322786,-0.384145130229513,-0.356674943938732,0.7,0.567671671671672,4.08163265306122,0.510204081632653
"",-0.437085497931116,-0.437085498584487,-1.23136375749843,-1.23115624116452,-0.425746608659775,-0.387141567074045,-0.356674943938732,0.7,0.563571571571572,4.08163265306122,0.510204081632653
"",-0.433765728107136,-0.433765729001847,-1.25327013479745,-1.2532701362624,-0.423140022070265,-0.379366272611714,-0.356674943938732,0.7,0.60387987987988,4.08163265306122,0.510204081632653
"",-0.286897943131412,-0.286897943131679,-0.57973367714126,-0.589830010526876,-0.287425385012828,-0.284997256428723,-0.22314355131421,0.8,0.140384384384384,3.125,0.390625
"",-0.231472782675874,-0.231472782675982,-0.525973776776584,-0.526664891801234,-0.233084241878352,-0.228367261691537,-0.22314355131421,0.8,0.160196196196196,3.125,0.390625
"",-0.217551361266281,-0.217551361266385,-0.586809362020709,-0.595967288846245,-0.219418425186896,-0.212887960834541,-0.22314355131421,0.8,0.203351351351351,3.125,0.390625
"",-0.251989995587912,-0.251989995588365,-0.701484867163894,-0.716296143063681,-0.257327867841463,-0.24487965942291,-0.22314355131421,0.8,0.245681681681682,3.125,0.390625
"",-0.205620174056781,-0.205620174058627,-0.704100620127887,-0.718185486656061,-0.21385390856374,-0.195440417928062,-0.22314355131421,0.8,0.269225225225225,3.125,0.390625
"",-0.208931396692294,-0.208931396693545,-0.739347309739438,-0.738859530116659,-0.21132357121849,-0.194276329457493,-0.22314355131421,0.8,0.326714714714715,3.125,0.390625
"",-0.2596612691582,-0.259661269167725,-0.855443357452916,-1.70120009671352,-0.259658309397108,-0.241155953029613,-0.22314355131421,0.8,0.387691691691692,3.125,0.390625
"",-0.274613614136,-0.274613614155882,-0.915472218714725,-1.71091553833901,-0.280275605876687,-0.249549148907388,-0.22314355131421,0.8,0.41837037037037,3.125,0.390625
"",-0.269854014035379,-0.269854014050569,-0.896296918085895,-1.71155135198772,-0.274563679820823,-0.245979086834138,-0.22314355131421,0.8,0.403891891891892,3.125,0.390625
